topic,question_text,answer,difficulty,hints,explanation
Equity Derivatives,Gamma measures the change in an option's Delta relative to the change in the underlying asset's price.,Gamma,Hard,A Greek letter starting with G,"Gamma helps traders understand how stable the Delta of their position is. [cite: 8, 10]"
Equity Derivatives,"The Delta of an ""At the Money"" call option approaches 0.5 as it nears expiry",0.5,Hard,A whole number,Deep in-the-Money call options move almost with the underlying asset. [cite: 8]
Equity Derivatives,NIFTY 50 is computed using the free-float market capitalization method.,NIFTY 50,Easy,India's flagship index.,NIFTY is a well-diversified index reflecting overall market conditions. [cite: 8]
Equity Derivatives,"Linear Future contracts have payoffs, where one participant's profit is another's loss.",Linear,Medium,A straight line,"In futures, the gains and losses are proportional to the price movement. [cite: 8]"
Equity Derivatives,Intrinsic value of a call option is calculated as: Spot Price minus Strike Price,Intrinsic,Medium,"The ""real"" value of the option","If the result is negative, the intrinsic value is zero. [cite: 8, 9]"
Equity Derivatives,Bearish Vertical Spread strategy is used to reduce the cost of a long position by selling a lower strike put.,Bearish Vertical Spread,Hard,Bearish strategy.,This involves options with the same underlying and same expiry but different strikes. [cite: 8]
Equity Derivatives,Basis: The difference between the Spot Price and the Future Price.,Basis,Medium,A five-letter word.,"If future price is higher than spot, the basis is positive. [cite: 8]"
Equity Derivatives,Strangle involves buying both a call and a put with different strike prices but the same expiry.,Strangle,Hard,Not a straddle,"This strategy is used when high volatility is expected but the direction is unknown. [cite: 8, 10]"
Equity Derivatives,Straddle involves buying both a call and a put with the same strike price and expiry.,Straddle,Hard,Sounds like sitting on a fence.,A Long Straddle profits from a significant move in either direction. [cite: 8]
Equity Derivatives,Time Value: Option Premium - Intrinsic Value,Time Value,Medium,Relates to remaining life of option.,Longer time to maturity generally results in a higher time value. [cite: 8]
Equity Derivatives,Open Interest is the total number of outstanding contracts that have not yet been settled.,Open Interest,Medium,Two words,Rising open interest with falling prices often indicates a bearish trend. [cite: 8]
Equity Derivatives,An Out-of-the-Money (OTM) option always has an intrinsic value of Zero,Zero,Easy,A number,"OTM options only have time value, no inherent ""exercise profit."" [cite: 8]"
Equity Derivatives,The minimum value of a single equity derivative contract at the time of introduction is Rs. 5 Lakh,5,Medium,A multiple of 5.,SEBI defines the minimum contract value to prevent over-speculation. [cite: 8]
Equity Derivatives,Stock split: the new strike price is calculated by dividing the old strike price by the adjustment factor.,Stock,Medium,Dividing a share,"Stock splits decrease the share price but increase the number of shares. [cite: 8, 10]"
Equity Derivatives,A Bullish (or Bull Call Spread) vertical spread is constructed by buying a call with a lower strike and selling a call with a higher strike.,Bullish (or Bull Call Spread),Hard,Used when the trader expects a moderate rise in prices.,This strategy profits from rising prices while reducing the cost of the premium. [cite: 9]
Equity Derivatives,Only In the Money (ITM) options have intrinsic value.,In the Money (ITM),Medium,"These options are already ""profitable"" if exercised.","Intrinsic is the ""real value""; OTM and ATM options only contain ""Time Value."" [cite: 9]"
Equity Derivatives,"For every currency contract, SEBI mandates the availability of 1 At the Money (ATM) strike contract.",1,Medium,It is a single-digit number,"The exchange terminal must show 3 OTM, 3 ITM, and 1 ATM strike for participants. [cite: 10]"
Equity Derivatives,Rho measures sensitivity to interest rate changes.,Rho,Medium,A three-letter Greek word,Rho measures the impact of rate hikes/cuts on premiums. [cite: 10]
Equity Derivatives,Vega measures the sensitivity of an option premium to changes in market volatility.,Vega,Medium,Starts with V.,"If volatility increases, Vega tells you how much the premium will rise. [cite: 10]"
Equity Derivatives,Delta measures change in option price per unit change in _____ price.,stock,medium,greeks,Underlying price.
Equity Derivatives,Gamma is highest for _____ options.,ATM,hard,greeks,At-the-money sensitivity.
Equity Derivatives,Theta is always _____ for long option positions.,negative,medium,greeks,Time decay hurts buyers.
Equity Derivatives,Vega is highest for _____ options.,ATM,hard,greeks,Volatility sensitivity.
Equity Derivatives,Rho is positive for long _____ options.,call,hard,greeks,Interest rate sensitivity.
Equity Derivatives,"Put-Call Parity defines relationship between call, put and _____.",spot,hard,theory,Pricing relationship.
Equity Derivatives,Synthetic long call = Long stock + Long _____.,put,hard,strategy,Synthetic positions.
Equity Derivatives,Synthetic short stock = Short call + Long _____.,put,hard,strategy,Synthetic positions.
Equity Derivatives,Butterfly spread involves _____ legs.,four,medium,strategy,3 strikes, 4 legs.
Equity Derivatives,Iron Condor is a combination of Bull Put Spread and Bear _____ Spread.,Call,hard,strategy,Range bound strategy.
Equity Derivatives,Margins are collected by the _____ Member.,Clearing,medium,risk,Risk management.
Equity Derivatives,Span margin covers _____ percent of risk.,99,hard,margin,VaR based.
Equity Derivatives,Exposure margin covers the _____ risk.,tail,hard,margin,Extreme loss.
Equity Derivatives,Assignment of options happens on a _____ basis.,random,medium,settlement,Random assignment.
Equity Derivatives,Option writers have _____ Max Profit.,limited,easy,risk,Premium received.
Equity Derivatives,Option buyers have _____ Max Risk.,limited,easy,risk,Premium paid.
Equity Derivatives,Maximum loss for short call is _____.,unlimited,medium,risk,Upside risk.
Equity Derivatives,Maximum loss for short put is strike price minus _____.,premium,hard,risk,Downside risk limited to 0.
Equity Derivatives,PCR stands for _____ Call Ratio.,Put,easy,indicator,Sentiment indicator.
Equity Derivatives,High PCR generally indicates _____ sentiment.,bullish,medium,indicator,Oversold/Contrarian.
Equity Derivatives,Implied Volatility (IV) represents expected _____ volatility.,future,medium,pricing,Market expectation.
Equity Derivatives,Historical Volatility (HV) is based on _____ data.,past,easy,pricing,Past moves.
Equity Derivatives,VIX is known as the _____ gauge.,fear,easy,indicator,Volatility index.
Equity Derivatives,Nifty VIX is derived from _____ option prices.,Nifty,medium,source,Index options.
Equity Derivatives,F&O ban period is triggered when OI crosses _____ percent of MWPL.,95,hard,regulation,Market wide position limit.
Equity Derivatives,"In ban period, only _____ of positions is allowed.",squaring-off,medium,regulation,No new positions.
Equity Derivatives,Security Transaction Tax (STT) is paid by _____ in option exercise.,purchaser,hard,tax,Exercise tax.
Equity Derivatives,Physical settlement is _____ for all stock derivatives.,mandatory,medium,settlement,Current cycle rule.
Equity Derivatives,Rolling settlement cycle in India is T+_____.,1,easy,settlement,T+1 cycle.
Common Derivatives,The primary objective of derivatives is to manage _____.,risk,easy,hedging,Derivatives are mainly risk management tools.
Common Derivatives,Derivative market mainly consists of hedgers and _____.,speculators,easy,participants,Two main participants.
Common Derivatives,The minimum price movement in a contract is called _____.,tick size,easy,pricing,Defined by exchange.
Common Derivatives,Forward contracts are _____ contracts.,customized,easy,OTC,Terms are negotiated.
Common Derivatives,Futures contracts are _____ contracts.,standardized,easy,exchange,Exchange traded contracts.
Common Derivatives,Difference between spot price and futures price is called _____.,basis,easy,pricing,Basis definition.
Common Derivatives,"When futures price is higher than spot price, market is in _____.",contango,medium,market,Normal market condition.
Common Derivatives,"When spot price is higher than futures price, market is in _____.",backwardation,medium,market,Inverted market.
Common Derivatives,Mark-to-market settlement is done on a _____ basis.,daily,easy,MTM,Daily settlement.
Common Derivatives,Initial margin is collected to cover _____ risk.,default,easy,margin,Protects against default.
Common Derivatives,Clearing corporation acts as a legal _____.,counterparty,medium,settlement,Guarantees settlement.
Common Derivatives,Higher volatility leads to higher margin _____.,requirement,easy,risk,Volatility-based margins.
Common Derivatives,Bid price is the price at which market is prepared to _____.,buy,easy,quotes,Bid definition.
Common Derivatives,Ask price is the price at which market is prepared to _____.,sell,easy,quotes,Ask definition.
Common Derivatives,The difference between bid and ask price is called _____.,spread,easy,liquidity,Bid-ask spread.
Common Derivatives,Cost arising due to bid-ask spread is called _____.,impact cost,medium,liquidity,Impact cost meaning.
Common Derivatives,Speculators provide market _____.,liquidity,easy,role,Speculators add liquidity.
Common Derivatives,Hedgers aim to _____ risk.,reduce,easy,purpose,Risk reduction.
Common Derivatives,Leverage allows large exposure with small _____.,margin,easy,capital,Margin trading.
Common Derivatives,Systematic risk affects the entire _____.,market,easy,risk,Market-wide risk.
Common Derivatives,Unsystematic risk can be reduced by _____.,diversification,easy,portfolio,Diversifiable risk.
Common Derivatives,Derivative trading in India is done through an online _____ system.,screen-based,medium,trading,Screen based trading.
Common Derivatives,Settlement guarantee fund is maintained by the _____ corporation.,clearing,hard,safety,Guarantees settlement.
Common Derivatives,Price limits restrict daily price _____.,movement,easy,volatility,Circuit limits.
Common Derivatives,Derivative losses on recognised exchanges are treated as _____ income.,non-speculative,medium,tax,Income tax rule.
Common Derivatives,"On expiry day, spot price and futures price should ideally be _____.",same,easy,convergence,Price convergence.
Common Derivatives,Reserve Bank of India (RBI) regulates the banking system as well as money markets in India.,Reserve Bank of India (RBI),Easy,It is India's central bank.,The RBI is the primary regulator for the banking system and money markets. [cite: 4]
Common Derivatives,Real risk-free rate is the compensation for postponement of consumption.,Real risk-free rate,Hard,Pure time value of money.,"This is the baseline return an investor expects just for waiting to spend their money. [cite: 1, 3]"
Common Derivatives,Nominal risk-free rate: When the real risk-free rate is adjusted for inflation expectation.,Nominal risk-free rate,Hard,"The ""stated"" risk-free rate",This rate accounts for the expected loss in purchasing power over time. [cite: 1]
Common Derivatives,Required rate of return is calculated by adding the risk premium to the nominal risk-free rate.,Required rate of return,Medium,The total return an investor expects,"Investors demand the risk-free rate plus extra (premium) for taking on risk. [cite: 2, 3]"
Common Derivatives,The nominal rate of return ignores potential changes in the Purchasing power of the currency.,Purchasing power,Medium,Ability to buy goods,"Nominal rates don't account for how much ""less"" the money can buy after inflation. [cite: 2]"
Common Derivatives,"To calculate the ""real"" rate of return, the inflation rate must be Subtracted from the nominal rate.",Subtracted,Medium,Taken away.,"Real Rate = Nominal Rate - Inflation Rate. [cite: 2, 3]"
Common Derivatives,The certainty of receiving an amount in the future makes an investment Risk-free,Risk-free,Medium,Zero danger of loss,"If the return is guaranteed, there is no risk. [cite: 2]"
Common Derivatives,Personal financial statement: a convenient way to analyze an investor's financial position.,Personal financial statement,Medium,A summary of wealth and income.,"This statement lists assets, liabilities, income, and expenses. [cite: 2]"
Common Derivatives,"If regular income is greater than spending, an investor has the Ability to invest periodically.",Ability,Medium,The capability or means.,"Surplus cash flow is the primary driver of periodic investment capacity. [cite: 2, 3]"
Common Derivatives,Portfolio beta is the Weighted average of the beta of all stocks in the portfolio.,Weighted average,Hard,It considers the size of each holding.,"Each stock's beta contributes to the total portfolio risk based on its percentage weight. [cite: 2, 11]"
Common Derivatives,Active and passive funds are classified based on the Fund management style,Fund management style,Medium,The way the fund is run.,Style determines whether the manager tries to beat the market or simply follow it. [cite: 2]
Common Derivatives,Systematic (or Market) risk: Portfolio Beta is used as a measure of this risk.,Systematic (or Market),Hard,The type of risk that affects the entire market.,"Beta measures how sensitive a portfolio is to market movements. [cite: 2, 9]"
Common Derivatives,"If a PMS firm faces a shortfall of funds, it must borrow from a commercial bank using its Own capacity",Own,Hard,"The firm's own legal and financial standing, not the client's.",SEBI prohibits PMs from borrowing on behalf of clients. [cite: 3]
Common Derivatives,Periodic investment is only possible if income exceeds Spending (or Liabilities),Spending (or Liabilities),Medium,"Monthly costs, bills, or debt payments.",Periodic investment is only possible when there is a positive net cash flow. [cite: 3]
Common Derivatives,Inflation erodes the purchasing power of money over time.,Inflation,Easy,Economic term.,Returns must beat inflation to provide real growth. [cite: 7]
Common Derivatives,Speculators are market participants who provide liquidity by being open to taking risks.,Speculators,Easy,Not hedgers or arbitrageurs,"Speculators take on risk to provide the liquidity hedgers need to reduce their risk. [cite: 8, 9]"
Common Derivatives,Mark to Market (MTM): The process of daily margin adjustment based on market prices.,Mark to Market (MTM),Easy,Three-letter acronym,"MTM ensures losses are collected and profits are paid out on a daily basis. [cite: 8, 9]"
Common Derivatives,Value at Risk (VaR): Margins in the Indian derivative market are based on this methodology at a 99% confidence level.,Value at Risk (VaR),Hard,Three-letter acronym for risk,"As per the Dr. LG. Gupta committee, VaR is used to calculate margin requirements. [cite: 8, 9]"
Common Derivatives,Impact cost represents the cost incurred during trade execution due to prevailing liquidity conditions,Impact,Hard,It impacts both buyers and sellers.,"High impact cost increases the buying price and reduces the selling price. [cite: 8, 10]"
Common Derivatives,SCORES is the SEBI web-based centralized grievance redressal system.,SCORES,Easy,An acronym starting with S,"This system allows investors to track the status of their complaints online. [cite: 8, 9]"
Common Derivatives,Calendar Spread strategy involves buying an underpriced future and selling an overpriced future of different months.,Calendar Spread,Medium,Named after a time-tracking tool.,This is an arbitrage strategy between contracts with different expirations. [cite: 8]
Common Derivatives,Cost of Carry: The relationship between the future price and the spot price.,Cost of Carry,Hard,Involves interest and dividends,"For equity, this is interest paid minus any dividends earned. [cite: 8]"
Common Derivatives,STT (Securities Transaction Tax) is a tax levied on all purchase and sale transactions of listed securities in India,STT,Easy,Three-letter acronym,"STT applies to equity, derivatives, and equity-oriented mutual funds. [cite: 8, 11]"
Common Derivatives,UCC (Unique Client Code) is a unique 10-digit number linked to a client's PAN for identification.,UCC (Unique Client Code),Easy,Three-letter acronym,"Brokers must allot a UCC to every client during onboarding. [cite: 8, 10]"
Common Derivatives,Bid price is the price at which the market is prepared to buy a security.,Bid,Easy,Think of an auction.,The Ask price is where the market is prepared to sell. [cite: 8]
Common Derivatives,IDC (Immediate or Cancel) order: any unmatched portion of the order is cancelled immediately.,IDC,Medium,Three-letter acronym,This order type does not allow any part of the order to remain in the book. [cite: 8]
Common Derivatives,Leverage: Using a small amount of margin to get a large market exposure.,Leverage,Easy,A financial multiplier,Leverage allows traders to control large contract values with limited capital. [cite: 8]
Common Derivatives,"Operational risk includes losses due to internal failures like fraud, strike, or outdated machinery",Operational,Medium,"Relates to daily ""operations""",This risk arises from an organization's internal activities and processes. [cite: 8]
Common Derivatives,Losses on derivative transactions can be carried forward for 8 assessment years.,8,Medium,A single digit number,This allows traders to set off future gains against past losses. [cite: 8]
Common Derivatives,Clearing Corporation acts as a legal counterparty to all trades and guarantees their settlement.,Clearing Corporation,Medium,Two words.,It steps in as the buyer to every seller and seller to every buyer. [cite: 8]
Common Derivatives,Market order is one where the price is not specified at the time of placement,Market,Easy,It executes at current price.,Market orders execute immediately at the best available prevailing price. [cite: 8]
Common Derivatives,Basis risk is the chance that the two future prices will not fluctuate identically during a hedge.,Basis,Hard,"Relates to the ""basis""",This risk exists in calendar spreads and other hedging strategies. [cite: 8]
Common Derivatives,FIU-IND: Suspicious transactions must be reported here under Anti-Money Laundering regulations.,FIU-IND,Hard,Acronym for a government unit,The Financial Intelligence Unit-India detects money laundering attempts. [cite: 8]
Common Derivatives,Cross Margining allows a trader to use a credit balance in the cash segment to meet margin needs in derivatives.,Cross Margining,Hard,Combining margins,This prevents excessive funds from being blocked in different segments. [cite: 8]
Common Derivatives,The STT rate for the sale of stock or index futures is 0.0125 percent.,0.0125,Hard,A decimal number.,This rate was revised effective from April. [cite: 8]
Common Derivatives,SEBI board members are appointed by the Central Government of India.,SEBI,Easy,The primary market regulator.,SEBI is the overall regulator for the securities and derivatives market. [cite: 8]
Common Derivatives,Settlement means the actual pay-in or pay out to settle the contract.,Settlement,Easy,It is the final stage of the trade cycle.,"Clearing is the calculation of obligations, Settlement is the actual exchange of money/securities. [cite: 9]"
Common Derivatives,Professional (PCMs) Clearing Members do not execute trades; they only clear and settle trades for other trading members.,Professional,Medium,Think of a member who acts as a service provider.,PCMs provide clearing services to Trading Members (TMs) who do not have clearing rights. [cite: 9]
Common Derivatives,Speculators provide much-needed liquidity and are open to taking risks.,Speculators,Medium,Opposite of Hedgers.,"Speculators take risks for profit, whereas hedgers enter the market to reduce existing risks. [cite: 9]"
Common Derivatives,The tick size for USDINR currency futures contracts in India is 0.0025 (or 0.25 paise),0.0025,Medium,It is a very small decimal value in Rupees,This is the minimum price movement allowed for USDINR futures on Indian exchanges. [cite: 9]
Common Derivatives,"For Government Bonds futures, the last trading day is the last Thursday of the contract month.",Thursday,Medium,It's a specific day of the week.,"T-Bill futures expire on the last Wednesday, but Government Bond futures expire on the last Thursday. [cite: 9]"
Common Derivatives,The minimum net worth required for an authorized exchange of currency futures is Rs 100 crores.,100,Hard,It is a triple-digit round figure.,Regulatory requirements mandate a high capital base for the exchange itself. [cite: 9]
Common Derivatives,VaR (Value at Risk) margins should be based on methodology at a 99% confidence level.,VaR (Value at Risk),Medium,A three-letter acronym starting with V,VaR is the standard statistical technique used to measure the risk of loss on a portfolio. [cite: 9]
Common Derivatives,Systematic risk cannot be controlled or eliminated through diversification.,Systematic,Medium,It affects the entire market.,Systematic risk (Market risk) is inherent to the entire market. [cite: 9]
Common Derivatives,Mark-to-Market (MTM) gains and losses are settled in cash before the start of trading on T+1 day.,T+1,Medium,It follows a T+X format.,Daily settlement happens the next business day after the trade (T+1). [cite: 9]
Common Derivatives,AS 30 is the accounting standard issued by ICAI that defines the accounting for derivatives.,AS 30,Hard,It is a number in the 30s.,AS 30 specifically deals with the recognition and measurement of financial instruments. [cite: 9]
Common Derivatives,"Amortized: when a forward contract is used for hedging, the premium or discount should be spread over the life of the contract.",Amortized,Hard,This means spreading the cost/benefit over time,"Per AS-11, the cost or gain is spread across the contract duration. [cite: 9]"
Common Derivatives,91-day Treasury Bill: The underlying for the 91-day Treasury Bill futures in India.,91-day,Easy,The answer is in the name of the contract.,The 91-day T-Bill serves as the specific benchmark for short-term interest rate futures. [cite: 9]
Common Derivatives,FIFO: method used to calculate profit/loss if more than one contract in a series is outstanding at expiry.,FIFO,Medium,"First-in, First-out.",This ensures a standardized chronological approach to squaring off positions. [cite: 9]
Common Derivatives,Price-Time: priority followed by exchanges for continuous matching.,Price-Time,Medium,The best price gets filled first then the earliest time.,"Orders are matched primarily on the best price available, then time. [cite: 9]"
Common Derivatives,Passive orders are unmatched buy or sell orders waiting in the order book to be matched.,Passive,Medium,"They are ""waiting"" rather than ""acting""",Passive orders provide liquidity by sitting in the book. [cite: 9]
Common Derivatives,Stop Loss Limit order includes both a Trigger Price and a Limit Price,Stop Loss Limit,Medium,Used to prevent further losses.,"Once the trigger price is hit, it becomes a limit order at the specified price. [cite: 9]"
Common Derivatives,"Up (or Rises): When the Indian Rupee (INR) depreciates against the USD, the USDINR pair price goes up.",Up (or Rises),Easy,Think of the exchange rate moving from 80 to 82.,Depreciation means you need more units of INR to buy one unit of USD. [cite: 9]
Common Derivatives,CHF is the symbol for the Swiss Franc in the currency market.,CHF,Medium,Three letters starting with 'C.,CHF is the international ISO code for the Swiss Franc. [cite: 9]
Common Derivatives,Reserve (or Vehicle) currency: When two currencies are traded against a common third currency.,Reserve (or Vehicle),Hard,"Also known as a ""vehicle"" currency.",Most currency pairs are liquid because they trade against the US Dollar as an intermediary. [cite: 10]
Common Derivatives,"Buyer: For interest rate derivatives in India, Stamp Duty is levied only on the buyer.",Buyer,Hard,The person initiating the purchase,"Unlike the cash market, where it might be shared, in IRDs, the buyer pays the duty. [cite: 10]"
Common Derivatives,2 Lakh: Treasury Bill futures in India have a standardized minimum tradable quantity.,2 Lakh,Hard,A round number in Lakhs,This ensures a minimum contract size for participation. [cite: 10]
Common Derivatives,Flattening: When the difference between long-term and short-term interest rates narrows.,Flattening,Medium,"It becomes ""less steep.""",Flattening occurs when short-term rates rise faster than long-term rates or vice versa. [cite: 10]
Common Derivatives,PDO (Public Debt Office): The depository for all Government Securities in India.,PDO (Public Debt Office),Medium,Three-letter acronym starting with 'P.,The PDO maintains the records of ownership for all government-issued debt. [cite: 10]
Common Derivatives,Accrued interest: interest earned by the seller from the last coupon date to the trade settlement date.,Accrued,Medium,"It is ""earned but not yet paid.""",The buyer compensates the seller for the portion of the interest period the seller held the bond. [cite: 10]
Common Derivatives,Modified duration measures how much a bond's price will change for a 1% change in interest rates.,Modified,Hard,"It is ""Macaulay duration adjusted for yield.",Modified Duration is the primary tool for measuring interest rate sensitivity. [cite: 10]
Common Derivatives,Initial Margin is the initial deposit required to open a futures position.,Initial Margin,Easy,"It's the ""entry"" margin.",It acts as a safety buffer for the clearing corporation against potential defaults. [cite: 10]
Common Derivatives,Impact Cost is the difference between the expected price and the actual execution price due to liquidity.,Impact Cost,Medium,It measures 'execution slippage.,"High impact cost indicates low liquidity, as large orders move the price against the trader. [cite: 10]"
Common Derivatives,Naked position means a trader has a directional view without any hedge.,Naked,Hard,"It means being ""unprotected.""","A naked position carries full market risk, unlike a spread or a hedged position. [cite: 10]"
Common Derivatives,Segregated (or Separate Client) funds must be kept in a bank account separate from the broker's own money.,Segregated (or Separate Client),Easy,"Not ""Proprietary""",This prevents the broker from using client money for their own trades or losses. [cite: 10]
Common Derivatives,Core SGF (Settlement Guarantee Fund) is maintained by Clearing Corporations to guarantee the settlement of trades.,Core SGF (Settlement Guarantee Fund),Medium,Core,It acts as a final backstop to ensure trades are paid. [cite: 10]
Common Derivatives,Offsetting is the process of ending a futures contract by entering an equal and opposite trade.,Offsetting,Medium,"Not ""Squaring off"" but a similar technical term.",Offsetting cancels out the delivery obligation of the original contract. [cite: 10]
Common Derivatives,Interest Rate Futures are based on _____ securities.,government,medium,underlying,G-Secs/T-Bills.
Common Derivatives,"Currency options in India are available on USD, EUR, GBP and _____.",JPY,medium,assets,4 pairs.
Common Derivatives,Notional principal is used to calculate _____ in swaps.,interest,hard,swaps,Not exchanged.
Common Derivatives,Mibsbor stands for _____ Interbank Offered Rate.,Mumbai,medium,rates,Benchmark rate.
Common Derivatives,Zero coupon bonds are issued at a _____ to face value.,discount,easy,pricing,Discount bond.
Common Derivatives,Commercial Paper is a _____ term money market instrument.,short,easy,money,Less than 1 year.
Common Derivatives,Certificate of Deposit is issued by _____.,banks,easy,money,Bank issuance
